depth,Minimax time taken(seconds),Alpha Beta time taken(seconds)
1,0.079,0.073
1,0.071,0.071
1,0.068,0.068
1,0.070,0.066
1,0.065,0.066
1,0.090,0.063
1,0.061,0.061
1,0.058,0.059
1,0.057,0.057
1,0.054,0.053
1,0.054,0.050
1,0.048,0.047
1,0.047,0.047
1,0.044,0.042
1,0.042,0.040
1,0.041,0.036
1,0.035,0.035
1,0.032,0.031
1,0.031,0.027
1,0.026,0.025
1,0.023,0.020
1,0.021,0.017
1,0.019,0.015
1,0.017,0.012
1,0.013,0.012
1,0.011,0.008
1,0.009,0.007
2,4.220,0.267
2,4.073,0.414
2,3.932,0.341
2,3.592,0.334
2,3.347,0.267
2,3.118,0.705
2,2.891,1.473
2,2.665,0.454
2,2.465,0.565
2,2.296,0.216
2,2.087,0.711
2,1.952,0.671
2,1.688,0.275
2,1.560,0.611
2,1.826,0.710
2,1.219,0.450
2,1.079,0.457
2,0.949,0.379
2,0.820,0.328
2,0.700,0.166
2,0.600,0.203
2,0.516,0.205
2,0.413,0.141
2,0.339,0.142
2,0.267,0.103
2,0.237,0.086
2,0.153,0.057
2,0.106,0.047
2,0.068,0.034
2,0.036,0.019
2,0.019,0.008
2,0.004,0.002
3,273.482,5.904
3,260.331,9.237
3,298.824,12.491
3,221.323,6.200
3,195.122,11.785
3,199.797,51.486
3,167.175,63.196
3,137.735,24.627
3,129.935,18.047
3,103.355,11.076
3,90.272,8.134
3,85.265,5.672
3,67.354,4.244
3,56.919,3.403
3,48.644,2.667
3,39.668,3.296
3,32.640,2.631
3,26.623,1.735
3,24.912,1.373
